Job Type,EX_level_demand,Industry,Technical_Tool,Competitive Level,Client_Country,Hourly_Rate
Web Scraping,Expert,Construction and Engineering,Mozenda,Competitive,Spain,23.0
Web Scraping,Intermediate,Construction and Engineering,Octoparse,Extremely Competitive,United Kingdom,28.0
Application Development,Entry Level,Professional Services,Balsamiq,Competitive,Sweden,28.0
Web Scraping,Entry Level,Finance and Banking,Mozenda,Competitive,Norway,20.0
Web Scraping,Intermediate,Real Estate,Import.io,Extremely Competitive,Switzerland,24.0
Web Scraping,Entry Level,Real Estate,DataMiner,Competitive,Poland,21.0
Website Development,Intermediate,Construction and Engineering,Bootstrap,Competitive,France,16.0
Application Development,Expert,Government,Proto.io,Competitive,South Africa,27.0
Application Development,Expert,Finance and Banking,Figma,Extremely Competitive,Poland,26.0
Web Scraping,Entry Level,Telecommunications,DataMiner,Competitive,Brazil,10.0
Web Scraping,Expert,Hospitality and Travel,Import.io,Uncompetitive,United States,31.0
Website Development,Entry Level,Telecommunications,Next.js,Extremely Competitive,Netherlands,22.0
Website Development,Entry Level,Personal Blogs/Portfolios,Drupal,Extremely Competitive,Switzerland,26.0
Website Development,Expert,Automotive,Express.js,Competitive,South Africa,24.0
Application Development,Intermediate,Real Estate,InVision,Competitive,Spain,28.0
Website Development,Entry Level,Telecommunications,Node.js,Uncompetitive,Argentina,3.0
Application Development,Intermediate,Education,Figma,Uncompetitive,China,18.0
Website Development,Intermediate,Energy and Utilities,WordPress,Extremely Competitive,Japan,21.0
Website Development,Expert,Construction and Engineering,Flutter,Competitive,Netherlands,22.0
Web Scraping,Expert,Media and Entertainment,WebHarvy,Competitive,India,16.0
Web Scraping,Expert,Finance and Banking,Octoparse,Competitive,Germany,15.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,Selenium,Competitive,Sweden,23.0
Website Development,Expert,Construction and Engineering,Next.js,Competitive,India,19.0
Web Scraping,Entry Level,Small Business/Local Business,Scrapy,Uncompetitive,France,14.0
Web Scraping,Expert,Retail (Non-E-commerce),Import.io,Competitive,United States,35.0
Application Development,Intermediate,Insurance,Balsamiq,Competitive,Spain,28.0
Application Development,Expert,Finance and Banking,Balsamiq,Uncompetitive,Italy,23.0
Application Development,Expert,Small Business/Local Business,Marvel,Uncompetitive,United States,34.0
Application Development,Entry Level,E-Commerce,UXPin,Competitive,Saudi Arabia,27.0
Application Development,Expert,Non-Profit and NGOs,UXPin,Competitive,Poland,25.0
Web Scraping,Expert,Personal Blogs/Portfolios,ParseHub,Competitive,Turkey,26.0
Website Development,Intermediate,Small Business/Local Business,Next.js,Extremely Competitive,France,17.0
Web Scraping,Intermediate,Government,Selenium,Competitive,Russia,21.0
Application Development,Intermediate,Insurance,Sketch,Competitive,Brazil,15.0
Web Scraping,Expert,Insurance,Import.io,Uncompetitive,Norway,20.0
Website Development,Intermediate,Education,Angular,Competitive,Belgium,11.0
Website Development,Intermediate,Retail (Non-E-commerce),Express.js,Competitive,Japan,21.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Competitive,United States,35.0
Web Scraping,Entry Level,Automotive,Beautiful Soup,Extremely Competitive,Switzerland,24.0
Application Development,Expert,Media and Entertainment,InVision,Uncompetitive,Japan,24.0
Website Development,Expert,Energy and Utilities,WordPress,Competitive,Spain,25.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,Scrapy,Competitive,South Korea,23.0
Application Development,Expert,Finance and Banking,UXPin,Uncompetitive,Turkey,31.0
Application Development,Entry Level,Construction and Engineering,Affinity Designer,Competitive,United Kingdom,34.0
Application Development,Expert,Hospitality and Travel,Balsamiq,Competitive,United Arab Emirates,31.0
Website Development,Intermediate,Telecommunications,React.js,Competitive,Australia,6.0
Website Development,Expert,Finance and Banking,Laravel,Competitive,Belgium,11.0
Website Development,Intermediate,Manufacturing and Industrial,Django,Competitive,Belgium,11.0
Web Scraping,Entry Level,Professional Services,Import.io,Extremely Competitive,Japan,19.0
Application Development,Expert,Energy and Utilities,Balsamiq,Uncompetitive,Poland,25.0
Web Scraping,Intermediate,Manufacturing and Industrial,Octoparse,Competitive,Germany,15.0
Web Scraping,Intermediate,Healthcare,ParseHub,Competitive,Switzerland,24.0
Web Scraping,Expert,Manufacturing and Industrial,Octoparse,Uncompetitive,Turkey,26.0
Web Scraping,Entry Level,Government,Import.io,Competitive,Turkey,26.0
Website Development,Intermediate,Telecommunications,Ruby on Rails,Competitive,Belgium,11.0
Application Development,Intermediate,Real Estate,UXPin,Competitive,South Korea,28.0
Web Scraping,Expert,Media and Entertainment,Beautiful Soup,Competitive,Canada,11.0
Website Development,Entry Level,Healthcare,Bootstrap,Extremely Competitive,Russia,23.0
Application Development,Entry Level,Finance and Banking,Marvel,Extremely Competitive,Germany,20.0
Application Development,Entry Level,Real Estate,Balsamiq,Competitive,Poland,25.0
Application Development,Intermediate,Finance and Banking,Figma,Competitive,Austria,13.0
Application Development,Intermediate,Insurance,Sketch,Competitive,Austria,13.0
Web Scraping,Intermediate,Construction and Engineering,Selenium,Competitive,Switzerland,24.0
Application Development,Intermediate,Telecommunications,Marvel,Competitive,Poland,26.0
Web Scraping,Entry Level,Professional Services,WebHarvy,Competitive,China,13.0
Website Development,Entry Level,Technology and SaaS,TypeScript,Competitive,Italy,20.0
Web Scraping,Expert,Finance and Banking,OutWit Hub,Uncompetitive,Germany,15.0
Application Development,Intermediate,Finance and Banking,InVision,Uncompetitive,India,22.0
Web Scraping,Intermediate,Construction and Engineering,OutWit Hub,Competitive,South Korea,23.0
Application Development,Intermediate,Non-Profit and NGOs,Axure,Extremely Competitive,Italy,23.0
Website Development,Intermediate,Media and Entertainment,Django,Competitive,China,14.0
Website Development,Expert,Healthcare,Figma,Extremely Competitive,South Korea,25.0
Application Development,Expert,Technology and SaaS,Affinity Designer,Uncompetitive,United Kingdom,33.0
Application Development,Expert,Insurance,Figma,Competitive,India,22.0
Website Development,Intermediate,Non-Profit and NGOs,Ruby on Rails,Extremely Competitive,Argentina,5.0
Application Development,Intermediate,Telecommunications,Adobe XD,Competitive,Belgium,14.0
Application Development,Expert,Education,InVision,Competitive,Canada,16.0
Website Development,Expert,Retail (Non-E-commerce),Ruby on Rails,Extremely Competitive,China,15.0
Website Development,Entry Level,Hospitality and Travel,WordPress,Competitive,Poland,22.0
Web Scraping,Entry Level,Non-Profit and NGOs,OutWit Hub,Competitive,India,17.0
Web Scraping,Intermediate,Finance and Banking,Import.io,Extremely Competitive,India,17.0
Web Scraping,Expert,Construction and Engineering,Scrapy,Competitive,United States,35.0
Web Scraping,Expert,Construction and Engineering,OutWit Hub,Uncompetitive,South Korea,23.0
Website Development,Entry Level,Media and Entertainment,Flutter,Competitive,France,17.0
Web Scraping,Entry Level,Professional Services,DataMiner,Competitive,India,17.0
Website Development,Expert,Finance and Banking,Ruby on Rails,Competitive,Belgium,11.0
Website Development,Entry Level,Insurance,Flutter,Uncompetitive,Germany,18.0
Website Development,Entry Level,Telecommunications,Angular,Competitive,Australia,8.0
Website Development,Entry Level,Real Estate,Visual Studio Code,Competitive,Italy,20.0
Application Development,Intermediate,Healthcare,UXPin,Uncompetitive,United Kingdom,33.0
Web Scraping,Entry Level,Insurance,OutWit Hub,Competitive,Italy,18.0
Application Development,Intermediate,Construction and Engineering,Balsamiq,Extremely Competitive,Saudi Arabia,27.0
Website Development,Intermediate,Telecommunications,Flutter,Competitive,Canada,13.0
Application Development,Entry Level,Finance and Banking,Marvel,Competitive,China,17.0
Application Development,Entry Level,Automotive,Figma,Extremely Competitive,Netherlands,25.0
Web Scraping,Entry Level,Manufacturing and Industrial,ParseHub,Competitive,Poland,21.0
Website Development,Expert,Real Estate,Next.js,Competitive,Spain,25.0
Website Development,Intermediate,Professional Services,Express.js,Competitive,China,15.0
Website Development,Expert,Education,Ruby on Rails,Competitive,Belgium,11.0
Application Development,Entry Level,Real Estate,Affinity Designer,Competitive,United Kingdom,34.0
Web Scraping,Intermediate,Media and Entertainment,Scrapy,Uncompetitive,Belgium,8.0
Application Development,Entry Level,Real Estate,Axure,Competitive,United Kingdom,34.0
Web Scraping,Entry Level,Hospitality and Travel,Beautiful Soup,Competitive,Poland,21.0
Application Development,Intermediate,Insurance,Figma,Competitive,Mexico,24.0
Application Development,Intermediate,Small Business/Local Business,Marvel,Competitive,Switzerland,30.0
Application Development,Intermediate,Small Business/Local Business,InVision,Competitive,China,17.0
Web Scraping,Expert,Government,OutWit Hub,Competitive,Netherlands,20.0
Website Development,Entry Level,Energy and Utilities,Ruby on Rails,Uncompetitive,Australia,10.0
Application Development,Expert,Finance and Banking,Balsamiq,Competitive,Poland,26.0
Website Development,Entry Level,Non-Profit and NGOs,Laravel,Extremely Competitive,Australia,8.0
Application Development,Entry Level,Education,Marvel,Extremely Competitive,Japan,24.0
Application Development,Entry Level,Retail (Non-E-commerce),Balsamiq,Competitive,United States,40.0
Website Development,Expert,E-Commerce,Flutter,Competitive,Italy,20.0
Web Scraping,Intermediate,Technology and SaaS,Scrapy,Competitive,Belgium,9.0
Web Scraping,Expert,Insurance,DataMiner,Competitive,France,14.0
Web Scraping,Expert,Real Estate,Scrapy,Uncompetitive,South Africa,22.0
Application Development,Intermediate,Automotive,Balsamiq,Competitive,Sweden,29.0
Website Development,Entry Level,Telecommunications,Next.js,Competitive,Israel,19.0
Website Development,Intermediate,Small Business/Local Business,React.js,Uncompetitive,Argentina,5.0
Web Scraping,Expert,Professional Services,Beautiful Soup,Competitive,Indonesia,17.0
Web Scraping,Entry Level,Construction and Engineering,Import.io,Competitive,United Kingdom,28.0
Website Development,Entry Level,Manufacturing and Industrial,Ruby on Rails,Competitive,China,14.0
Web Scraping,Expert,Manufacturing and Industrial,Mozenda,Competitive,Thailand,25.0
Website Development,Entry Level,Non-Profit and NGOs,TypeScript,Competitive,India,18.0
Web Scraping,Expert,Real Estate,Beautiful Soup,Extremely Competitive,Sweden,24.0
Web Scraping,Entry Level,Telecommunications,DataMiner,Competitive,France,15.0
Application Development,Intermediate,Manufacturing and Industrial,InVision,Extremely Competitive,Norway,25.0
Website Development,Expert,Small Business/Local Business,Flutter,Competitive,Indonesia,19.0
Application Development,Entry Level,Real Estate,Proto.io,Uncompetitive,Russia,26.0
Website Development,Intermediate,Personal Blogs/Portfolios,Flutter,Competitive,Germany,17.0
Web Scraping,Entry Level,Retail (Non-E-commerce),DataMiner,Competitive,United States,31.0
Website Development,Entry Level,Construction and Engineering,Ruby on Rails,Competitive,France,16.0
Web Scraping,Intermediate,Retail (Non-E-commerce),ParseHub,Uncompetitive,France,15.0
Application Development,Expert,Real Estate,Affinity Designer,Competitive,United States,40.0
Web Scraping,Expert,E-Commerce,Octoparse,Competitive,United Kingdom,28.0
Web Scraping,Intermediate,Small Business/Local Business,Import.io,Competitive,France,15.0
Web Scraping,Intermediate,Technology and SaaS,ParseHub,Extremely Competitive,Australia,5.0
Website Development,Intermediate,Personal Blogs/Portfolios,Next.js,Competitive,Canada,13.0
Application Development,Expert,Media and Entertainment,Proto.io,Uncompetitive,Sweden,28.0
Website Development,Intermediate,Finance and Banking,Angular,Uncompetitive,Australia,8.0
Application Development,Intermediate,Finance and Banking,Figma,Competitive,Netherlands,25.0
Web Scraping,Intermediate,Professional Services,ParseHub,Extremely Competitive,Germany,15.0
Web Scraping,Expert,Construction and Engineering,Scrapy,Competitive,United Kingdom,27.0
Website Development,Entry Level,E-Commerce,Bootstrap,Competitive,Japan,21.0
Website Development,Entry Level,Construction and Engineering,Figma,Extremely Competitive,Sweden,26.0
Application Development,Intermediate,Telecommunications,Marvel,Extremely Competitive,Indonesia,22.0
Website Development,Entry Level,Finance and Banking,Flutter,Extremely Competitive,Belgium,11.0
Application Development,Entry Level,Retail (Non-E-commerce),Proto.io,Competitive,United Kingdom,32.0
Website Development,Entry Level,Manufacturing and Industrial,TypeScript,Competitive,China,15.0
Application Development,Intermediate,Real Estate,Axure,Competitive,United States,35.0
Application Development,Expert,Professional Services,Axure,Uncompetitive,Italy,23.0
Application Development,Expert,Healthcare,UXPin,Extremely Competitive,United States,35.0
Web Scraping,Intermediate,Media and Entertainment,Import.io,Uncompetitive,South Africa,22.0
Web Scraping,Expert,Government,Scrapy,Competitive,South Korea,22.0
Web Scraping,Expert,Manufacturing and Industrial,Scrapy,Competitive,India,16.0
Web Scraping,Entry Level,Manufacturing and Industrial,DataMiner,Competitive,Switzerland,24.0
Application Development,Entry Level,Professional Services,Balsamiq,Uncompetitive,Japan,24.0
Website Development,Intermediate,Healthcare,Ruby on Rails,Competitive,China,15.0
Website Development,Intermediate,Hospitality and Travel,Flutter,Competitive,Germany,17.0
Web Scraping,Expert,Automotive,ParseHub,Competitive,United States,32.0
Website Development,Expert,Non-Profit and NGOs,Express.js,Uncompetitive,China,15.0
Website Development,Intermediate,Real Estate,Next.js,Extremely Competitive,Indonesia,19.0
Web Scraping,Intermediate,Hospitality and Travel,DataMiner,Competitive,Poland,21.0
Application Development,Intermediate,Real Estate,InVision,Competitive,Italy,24.0
Web Scraping,Expert,Real Estate,WebHarvy,Uncompetitive,Sweden,24.0
Website Development,Entry Level,Government,Express.js,Extremely Competitive,China,15.0
Application Development,Expert,Manufacturing and Industrial,InVision,Extremely Competitive,Thailand,31.0
Website Development,Expert,Personal Blogs/Portfolios,Next.js,Uncompetitive,Japan,21.0
Application Development,Intermediate,Energy and Utilities,Axure,Extremely Competitive,Spain,28.0
Web Scraping,Expert,Energy and Utilities,OutWit Hub,Competitive,Mexico,19.0
Website Development,Intermediate,Insurance,Vue.js,Uncompetitive,Argentina,6.0
Website Development,Entry Level,Hospitality and Travel,Laravel,Uncompetitive,China,15.0
Website Development,Expert,Automotive,Drupal,Competitive,Spain,25.0
Website Development,Intermediate,Retail (Non-E-commerce),Express.js,Extremely Competitive,Spain,25.0
Web Scraping,Entry Level,Manufacturing and Industrial,ParseHub,Competitive,Mexico,20.0
Website Development,Intermediate,Telecommunications,Laravel,Uncompetitive,Canada,13.0
Web Scraping,Entry Level,Insurance,ParseHub,Competitive,Canada,11.0
Website Development,Entry Level,Government,React.js,Competitive,Australia,7.0
Website Development,Intermediate,Healthcare,Vue.js,Competitive,Austria,10.0
Website Development,Entry Level,Hospitality and Travel,Laravel,Competitive,Belgium,11.0
Website Development,Intermediate,E-Commerce,Laravel,Competitive,Canada,13.0
Application Development,Intermediate,Manufacturing and Industrial,Adobe XD,Competitive,Germany,20.0
Web Scraping,Intermediate,Small Business/Local Business,OutWit Hub,Extremely Competitive,Germany,15.0
Application Development,Entry Level,Construction and Engineering,InVision,Competitive,Mexico,25.0
Website Development,Intermediate,Healthcare,Next.js,Extremely Competitive,Italy,20.0
Web Scraping,Intermediate,Construction and Engineering,Selenium,Uncompetitive,United States,31.0
Website Development,Entry Level,Professional Services,Django,Uncompetitive,Brazil,11.0
Application Development,Intermediate,Energy and Utilities,Figma,Competitive,Indonesia,22.0
Web Scraping,Expert,Telecommunications,OutWit Hub,Uncompetitive,Switzerland,24.0
Website Development,Intermediate,Technology and SaaS,React.js,Competitive,Australia,8.0
Website Development,Expert,Small Business/Local Business,Next.js,Competitive,Mexico,21.0
Website Development,Expert,Real Estate,TypeScript,Competitive,Germany,17.0
Web Scraping,Intermediate,Government,Octoparse,Competitive,Germany,15.0
Application Development,Intermediate,Personal Blogs/Portfolios,Figma,Extremely Competitive,Netherlands,25.0
Application Development,Expert,Finance and Banking,Marvel,Uncompetitive,Japan,24.0
Website Development,Intermediate,Education,Ruby on Rails,Competitive,Canada,14.0
Website Development,Expert,Non-Profit and NGOs,Ruby on Rails,Competitive,Australia,9.0
Website Development,Intermediate,Media and Entertainment,TypeScript,Competitive,China,15.0
Application Development,Expert,Retail (Non-E-commerce),Affinity Designer,Uncompetitive,United States,38.0
Website Development,Expert,Small Business/Local Business,Angular,Competitive,Belgium,11.0
Application Development,Entry Level,Telecommunications,Balsamiq,Competitive,France,19.0
Web Scraping,Intermediate,Hospitality and Travel,DataMiner,Competitive,France,14.0
Web Scraping,Intermediate,Energy and Utilities,Octoparse,Competitive,Germany,16.0
Application Development,Entry Level,Government,Axure,Uncompetitive,Spain,28.0
Web Scraping,Expert,Education,DataMiner,Competitive,United States,29.0
Application Development,Expert,Small Business/Local Business,Axure,Competitive,Indonesia,22.0
Web Scraping,Intermediate,E-Commerce,Scrapy,Competitive,Germany,16.0
Application Development,Expert,Professional Services,Figma,Competitive,Indonesia,22.0
Website Development,Expert,Insurance,Ruby on Rails,Uncompetitive,Germany,17.0
Web Scraping,Expert,Real Estate,OutWit Hub,Extremely Competitive,United Kingdom,28.0
Website Development,Intermediate,Non-Profit and NGOs,TypeScript,Uncompetitive,China,15.0
Website Development,Expert,Healthcare,Visual Studio Code,Competitive,Poland,23.0
Web Scraping,Entry Level,Small Business/Local Business,Import.io,Competitive,Mexico,19.0
Application Development,Intermediate,Education,Marvel,Competitive,Netherlands,25.0
Web Scraping,Entry Level,Retail (Non-E-commerce),Octoparse,Competitive,Mexico,19.0
Application Development,Expert,Government,UXPin,Extremely Competitive,United Arab Emirates,32.0
Web Scraping,Expert,Government,ParseHub,Uncompetitive,United Kingdom,28.0
Web Scraping,Intermediate,Non-Profit and NGOs,Selenium,Uncompetitive,Mexico,19.0
Application Development,Expert,Non-Profit and NGOs,Marvel,Competitive,Italy,23.0
Application Development,Expert,Real Estate,Marvel,Extremely Competitive,United States,35.0
Website Development,Expert,Telecommunications,Angular,Uncompetitive,Brazil,12.0
Website Development,Intermediate,Retail (Non-E-commerce),Next.js,Competitive,India,18.0
Website Development,Intermediate,Personal Blogs/Portfolios,TypeScript,Competitive,China,15.0
Web Scraping,Entry Level,Media and Entertainment,WebHarvy,Competitive,Brazil,10.0
Website Development,Intermediate,Professional Services,Django,Uncompetitive,Canada,13.0
Website Development,Entry Level,Retail (Non-E-commerce),Django,Extremely Competitive,Brazil,12.0
Website Development,Expert,E-Commerce,Flutter,Competitive,India,18.0
Application Development,Entry Level,Construction and Engineering,Axure,Extremely Competitive,Norway,25.0
Website Development,Expert,Energy and Utilities,Visual Studio Code,Competitive,Norway,22.0
Web Scraping,Entry Level,Finance and Banking,WebHarvy,Extremely Competitive,France,14.0
Web Scraping,Intermediate,Retail (Non-E-commerce),Import.io,Competitive,United States,29.0
Website Development,Entry Level,Government,Bootstrap,Extremely Competitive,France,17.0
Application Development,Expert,Technology and SaaS,Adobe XD,Competitive,Italy,23.0
Application Development,Expert,Personal Blogs/Portfolios,UXPin,Competitive,United States,34.0
Website Development,Expert,Energy and Utilities,Bootstrap,Uncompetitive,India,18.0
Website Development,Intermediate,Healthcare,Visual Studio Code,Competitive,Italy,20.0
Application Development,Expert,E-Commerce,Proto.io,Uncompetitive,Switzerland,30.0
Web Scraping,Intermediate,Manufacturing and Industrial,Octoparse,Competitive,France,14.0
Web Scraping,Entry Level,Hospitality and Travel,OutWit Hub,Competitive,Sweden,24.0
Web Scraping,Expert,Energy and Utilities,Octoparse,Competitive,United Arab Emirates,26.0
Web Scraping,Entry Level,Real Estate,Selenium,Uncompetitive,Turkey,26.0
Website Development,Expert,Healthcare,Express.js,Extremely Competitive,Switzerland,27.0
Application Development,Entry Level,Healthcare,UXPin,Competitive,United States,35.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,Octoparse,Competitive,Thailand,25.0
Website Development,Entry Level,Manufacturing and Industrial,Ruby on Rails,Competitive,Australia,7.0
Website Development,Expert,E-Commerce,WordPress,Competitive,Indonesia,19.0
Web Scraping,Entry Level,Hospitality and Travel,Mozenda,Competitive,Thailand,25.0
Web Scraping,Entry Level,Personal Blogs/Portfolios,ParseHub,Competitive,Mexico,19.0
Web Scraping,Intermediate,Personal Blogs/Portfolios,DataMiner,Extremely Competitive,Sweden,24.0
Web Scraping,Intermediate,Telecommunications,Beautiful Soup,Competitive,Germany,16.0
Application Development,Entry Level,Healthcare,InVision,Competitive,Thailand,30.0
Application Development,Intermediate,Media and Entertainment,Adobe XD,Competitive,France,20.0
Website Development,Intermediate,Finance and Banking,Django,Competitive,Belgium,11.0
Website Development,Intermediate,Automotive,Bootstrap,Uncompetitive,Mexico,21.0
Website Development,Intermediate,Energy and Utilities,Express.js,Competitive,China,14.0
Application Development,Intermediate,Insurance,Balsamiq,Competitive,South Korea,28.0
Website Development,Intermediate,Non-Profit and NGOs,Django,Competitive,Argentina,2.0
Website Development,Entry Level,Insurance,Flutter,Competitive,Belgium,11.0
Web Scraping,Intermediate,Real Estate,DataMiner,Extremely Competitive,United Kingdom,27.0
Website Development,Intermediate,Insurance,Node.js,Competitive,Argentina,3.0
Web Scraping,Intermediate,Small Business/Local Business,Octoparse,Competitive,Germany,15.0
Website Development,Entry Level,Manufacturing and Industrial,Ruby on Rails,Competitive,Argentina,5.0
Web Scraping,Expert,Retail (Non-E-commerce),Octoparse,Competitive,United States,30.0
Web Scraping,Entry Level,Insurance,Selenium,Uncompetitive,United Kingdom,28.0
Website Development,Intermediate,Manufacturing and Industrial,TypeScript,Competitive,China,14.0
Website Development,Entry Level,Automotive,TypeScript,Competitive,Canada,13.0
Website Development,Intermediate,Manufacturing and Industrial,Laravel,Uncompetitive,Brazil,11.0
Application Development,Entry Level,Healthcare,Proto.io,Uncompetitive,United States,37.0
Application Development,Intermediate,Energy and Utilities,Adobe XD,Uncompetitive,Australia,11.0
Web Scraping,Entry Level,Finance and Banking,WebHarvy,Competitive,Austria,8.0
Web Scraping,Expert,E-Commerce,DataMiner,Competitive,South Korea,23.0
Application Development,Intermediate,Government,Balsamiq,Competitive,South Africa,27.0
Web Scraping,Expert,Automotive,Selenium,Competitive,Poland,20.0
Application Development,Entry Level,E-Commerce,Axure,Competitive,Japan,24.0
Website Development,Entry Level,Professional Services,TypeScript,Competitive,India,19.0
Web Scraping,Intermediate,Professional Services,Beautiful Soup,Uncompetitive,Norway,20.0
Website Development,Expert,Finance and Banking,Flutter,Competitive,France,16.0
Website Development,Intermediate,Hospitality and Travel,Ruby on Rails,Competitive,Brazil,12.0
Web Scraping,Entry Level,Retail (Non-E-commerce),ParseHub,Uncompetitive,South Africa,22.0
Application Development,Expert,Hospitality and Travel,Proto.io,Extremely Competitive,United States,34.0
Website Development,Intermediate,Healthcare,Express.js,Competitive,Spain,25.0
Application Development,Intermediate,Government,Axure,Extremely Competitive,Saudi Arabia,27.0
Website Development,Expert,Professional Services,Angular,Extremely Competitive,Canada,13.0
Application Development,Intermediate,Technology and SaaS,Axure,Competitive,India,21.0
Website Development,Expert,Hospitality and Travel,Next.js,Competitive,Poland,23.0
Application Development,Intermediate,Professional Services,Figma,Extremely Competitive,Canada,16.0
Website Development,Entry Level,Small Business/Local Business,Flutter,Competitive,Canada,13.0
Application Development,Expert,Professional Services,InVision,Competitive,Saudi Arabia,27.0
Website Development,Intermediate,Personal Blogs/Portfolios,Ruby on Rails,Uncompetitive,Germany,17.0
Web Scraping,Intermediate,Hospitality and Travel,Selenium,Competitive,Israel,18.0
Website Development,Entry Level,Non-Profit and NGOs,Vue.js,Competitive,Belgium,10.0
Web Scraping,Entry Level,Retail (Non-E-commerce),DataMiner,Uncompetitive,Japan,19.0
Web Scraping,Intermediate,Media and Entertainment,Selenium,Uncompetitive,China,14.0
Website Development,Expert,Hospitality and Travel,Flutter,Competitive,Belgium,11.0
Application Development,Intermediate,Small Business/Local Business,Marvel,Competitive,Switzerland,29.0
Web Scraping,Expert,Finance and Banking,Octoparse,Competitive,India,16.0
Website Development,Intermediate,Finance and Banking,Angular,Competitive,Canada,13.0
Web Scraping,Entry Level,Insurance,DataMiner,Competitive,China,12.0
Website Development,Expert,Personal Blogs/Portfolios,Express.js,Competitive,Indonesia,19.0
Application Development,Intermediate,Telecommunications,Proto.io,Competitive,Israel,23.0
Website Development,Entry Level,Manufacturing and Industrial,Flutter,Competitive,Netherlands,22.0
Application Development,Expert,Insurance,Figma,Competitive,Mexico,24.0
Web Scraping,Entry Level,Energy and Utilities,OutWit Hub,Competitive,Sweden,23.0
Web Scraping,Entry Level,Media and Entertainment,ParseHub,Competitive,Russia,21.0
Web Scraping,Intermediate,Technology,Python,Uncompetitive,United States,10.0
Website Development,Intermediate,Technology,Python,Uncompetitive,India,18.0
Web Scraping,Expert,Technology,Excel,Competitive,United States,40.0
Website Development,Intermediate,Technology,Python,Competitive,United States,50.0
Website Development,Intermediate,Technology,MongoDB,Competitive,Egypt,15.0
Web Scraping,Intermediate,Technology,Excel,Competitive,New Zealand,6.0
Website Development,Intermediate,Technology,HTML,Uncompetitive,Philippines,5.0
Web Scraping,Intermediate,Technology,Python,Competitive,United States,8.0
Website Development,Intermediate,Technology,Git,Competitive,Australia,16.0
Web Scraping,Expert,Technology,Python,Competitive,United States,10.0
Web Scraping,Expert,Healthcare,Python,Extremely Competitive,United States,5.0
Web Scraping,Expert,Technology,PHP,Competitive,Australia,30.0
Website Development,Expert,Technology,HTML,Extremely Competitive,United States,10.0
Web Scraping,Intermediate,Retail,Excel,Uncompetitive,United States,8.0
Web Scraping,Intermediate,Retail,SQL,Competitive,United States,5.0
Website Development,Expert,Technology,SQL,Extremely Competitive,Iceland,30.0
Web Scraping,Intermediate,Technology,Python,Competitive,Israel,8.0
Web Scraping,Expert,Retail,Git,Competitive,Canada,20.0
Web Scraping,Intermediate,Technology,Python,Uncompetitive,Albania,5.0
Web Scraping,Expert,Technology,Python,Competitive,United States,20.0
Web Scraping,Intermediate,Finance,Python,Competitive,Sweden,8.0
Web Scraping,Expert,Technology,MongoDB,Competitive,United States,30.0
Web Scraping,Expert,Technology,SQL,Competitive,United States,40.0
Web Scraping,Intermediate,Entertainment,HTML,Competitive,Brazil,15.0
Website Development,Expert,Technology,JavaScript,Competitive,United States,25.0
Website Development,Intermediate,Technology,Python,Competitive,Canada,15.0
Web Scraping,Expert,Retail,Python,Uncompetitive,United States,68.0
Website Development,Intermediate,Technology,WordPress,Competitive,Canada,10.0
Website Development,Intermediate,Technology,SQL,Competitive,United States,30.0
Web Scraping,Expert,Technology,JavaScript,Extremely Competitive,United States,15.0
Website Development,Expert,Technology,MongoDB,Competitive,New Zealand,8.0
Web Scraping,Intermediate,Technology,React,Competitive,United States,30.0
Website Development,Intermediate,Technology,Python,Competitive,United Kingdom,20.0
Website Development,Intermediate,Technology,Python,Competitive,United States,40.0
Website Development,Intermediate,Technology,Python,Competitive,Spain,18.0
Web Scraping,Entry Level,Technology,HTML,Extremely Competitive,United States,5.0
Website Development,Intermediate,Technology,Python,Competitive,Spain,16.0
Web Scraping,Expert,Technology,SQL,Uncompetitive,United States,8.0
Web Scraping,Expert,Technology,Python,Competitive,Belgium,20.0
Website Development,Entry Level,Technology,HTML,Competitive,United States,5.0
Website Development,Entry Level,Technology,HTML,Competitive,United States,5.0
Web Scraping,Expert,Technology,Python,Uncompetitive,United States,10.0
Web Scraping,Intermediate,Technology,Python,Competitive,United States,8.0
Website Development,Expert,Technology,SQL,Competitive,United States,40.0
Website Development,Intermediate,Technology,JavaScript,Uncompetitive,United States,20.0
Web Scraping,Intermediate,Technology,Python,Competitive,United States,8.0
Web Scraping,Intermediate,Real Estate,Python,Competitive,United States,8.0
Website Development,Expert,Technology,SQL,Competitive,United States,15.0
Website Development,Intermediate,Technology,HTML,Competitive,United States,50.0
Website Development,Expert,Technology,AWS,Competitive,United States,100.0
Website Development,Expert,Technology,SQL,Uncompetitive,United States,50.0
Website Development,Intermediate,Technology,WordPress,Competitive,United States,5.0
Web Scraping,Expert,Technology,Python,Uncompetitive,Pakistan,3.0
Web Scraping,Expert,Technology,JavaScript,Competitive,United States,25.0
Web Scraping,Intermediate,Technology,C#,Extremely Competitive,United States,25.0
Web Scraping,Expert,Retail,Python,Competitive,United States,20.0
Web Scraping,Expert,Technology,Python,Competitive,United States,20.0
Web Scraping,Intermediate,Technology,SQL,Competitive,Greece,15.0
